symbol,timeframe,factor,ic,ir,abs_ic,ic_win
BTCUSDT,5min,volatility,-0.12588920900995285,-0.2697577593351022,0.12588920900995285,0.9683734939759037
BTCUSDT,5min,atr_ratio,0.028046394090585087,0.05815710982357565,0.028046394090585087,0.9821162444113264
BTCUSDT,5min,rsi,-0.35946782099433444,-0.9912081628690241,0.35946782099433444,0.9751098096632503
BTCUSDT,5min,volume_ratio,-0.019632058055891525,-0.14567270776281388,0.019632058055891525,0.8696925329428989
BTCUSDT,5min,price_momentum,-0.35954950235725514,-0.8343125392903686,0.35954950235725514,0.9743975903614458
BTCUSDT,5min,bollinger_position,-0.3493265181652316,-0.9143418028291662,0.3493265181652316,0.9819548872180451
BTCUSDT,5min,obv_slope,-0.16037585123101097,-0.36123455083066314,0.16037585123101097,0.9698795180722891
BTCUSDT,15min,volatility,0.08252327246688149,0.19542230921074977,0.08252327246688149,0.9627976190476191
BTCUSDT,15min,atr_ratio,0.1373869135282979,0.3188330794741885,0.1373869135282979,0.9764359351988218
BTCUSDT,15min,rsi,-0.45907017336281203,-1.5499632673293522,0.45907017336281203,0.9855282199710564
BTCUSDT,15min,volume_ratio,0.02509167274191267,0.1636118118703781,0.02509167274191267,0.894356005788712
BTCUSDT,15min,price_momentum,-0.3972475832438238,-1.201040202404131,0.3972475832438238,0.9717261904761905
BTCUSDT,15min,bollinger_position,-0.42170486705742033,-1.2401400469154225,0.42170486705742033,0.9851411589895989
BTCUSDT,15min,obv_slope,0.2721983530254207,0.6589695982837532,0.2721983530254207,0.9672619047619048
BTCUSDT,30min,volatility,-0.0018209342560553529,-0.004377149527784459,0.0018209342560553529,0.9838235294117647
BTCUSDT,30min,atr_ratio,0.08642435139994861,0.21378317440687233,0.08642435139994861,0.9723435225618632
BTCUSDT,30min,rsi,-0.401931330472103,-1.405826981871897,0.401931330472103,0.9785407725321889
BTCUSDT,30min,volume_ratio,0.015160313052259532,0.07520464484176557,0.015160313052259532,0.9284692417739628
BTCUSDT,30min,price_momentum,-0.3797145328719723,-1.1366594153410148,0.3797145328719723,0.9808823529411764
BTCUSDT,30min,bollinger_position,-0.3853904336365831,-1.1663686270765063,0.3853904336365831,0.9882525697503671
BTCUSDT,30min,obv_slope,0.22184256055363324,0.5055333308415222,0.22184256055363324,0.9823529411764705
BTCUSDT,1h,volatility,0.010520929831742683,0.02712030128004533,0.010520929831742683,0.9634670487106017
BTCUSDT,1h,atr_ratio,0.15074571675089363,0.4248635209034829,0.15074571675089363,0.9615110477548111
BTCUSDT,1h,rsi,-0.37151465235526976,-1.2946674661187116,0.37151465235526976,0.9893992932862191
BTCUSDT,1h,volume_ratio,0.012159727941762531,0.08632500580793447,0.012159727941762531,0.8876325088339223
BTCUSDT,1h,price_momentum,-0.34344636663291467,-1.0696884181501327,0.34344636663291467,0.9799426934097422
BTCUSDT,1h,bollinger_position,-0.3347478286788495,-1.0222238779543538,0.3347478286788495,0.9699355762347889
BTCUSDT,1h,obv_slope,0.15836008359006395,0.3887956730140994,0.15836008359006395,0.9677650429799427
BTCUSDT,4h,volatility,0.01785040113260973,0.03750168733737161,0.01785040113260973,0.9839546956111374
BTCUSDT,4h,atr_ratio,0.13376730278188415,0.29358180994948074,0.13376730278188415,0.9741298212605832
BTCUSDT,4h,rsi,-0.4646373932088846,-1.41091579309936,0.4646373932088846,0.9812909260991581
BTCUSDT,4h,volume_ratio,0.015720633435787782,0.08408745599036567,0.015720633435787782,0.9092609915809168
BTCUSDT,4h,price_momentum,-0.4514275601698914,-1.2198649776391681,0.4514275601698914,0.9867862199150542
BTCUSDT,4h,bollinger_position,-0.39826141342338756,-1.0468939337438397,0.39826141342338756,0.9863207547169811
BTCUSDT,4h,obv_slope,-0.24925672487022174,-0.5458381059802272,0.24925672487022174,0.9801793298725814
BTCUSDT,1d,volatility,0.11708804016496323,0.26098012583955643,0.11708804016496323,0.9763313609467456
BTCUSDT,1d,atr_ratio,0.16488621624808392,0.39001801490414395,0.16488621624808392,0.9571984435797666
BTCUSDT,1d,rsi,-0.4815442936719411,-1.6186905148410151,0.4815442936719411,0.9790874524714829
BTCUSDT,1d,volume_ratio,0.002050927526212703,0.007796403356094272,0.002050927526212703,0.9220532319391636
BTCUSDT,1d,price_momentum,-0.4008726316418624,-1.0762460657095663,0.4008726316418624,0.980276134122288
BTCUSDT,1d,bollinger_position,-0.4624315895602222,-1.3326268408214956,0.4624315895602222,0.9881889763779528
BTCUSDT,1d,obv_slope,0.17463391309545154,0.4019464180084692,0.17463391309545154,0.9723865877712031
ETHUSDT,5min,volatility,0.028503143006809843,0.06098258103068291,0.028503143006809843,0.9804216867469879
ETHUSDT,5min,atr_ratio,0.17992872416250888,0.4482610043540819,0.17992872416250888,0.9672131147540983
ETHUSDT,5min,rsi,-0.4625717741422114,-1.5317498834393177,0.4625717741422114,0.9736456808199122
ETHUSDT,5min,volume_ratio,0.0036030301101279503,0.03112224537618056,0.0036030301101279503,0.8345534407027818
ETHUSDT,5min,price_momentum,-0.4485123101100052,-1.134204249210961,0.4485123101100052,0.9819277108433735
ETHUSDT,5min,bollinger_position,-0.42841451040087464,-1.2922168548655704,0.42841451040087464,0.98796992481203
ETHUSDT,5min,obv_slope,0.2641265060240964,0.7119022012351023,0.2641265060240964,0.9683734939759037
ETHUSDT,15min,volatility,-0.04278105979233799,-0.09500802934335985,0.04278105979233799,0.96875
ETHUSDT,15min,atr_ratio,0.211753241719911,0.4920465197848913,0.211753241719911,0.9764359351988218
ETHUSDT,15min,rsi,-0.479275809993633,-1.6317217745613164,0.479275809993633,0.984081041968162
ETHUSDT,15min,volume_ratio,-0.008702653885074478,-0.061709131369551515,0.008702653885074478,0.9001447178002895
ETHUSDT,15min,price_momentum,-0.3839621374865736,-1.15240867278486,0.3839621374865736,0.9761904761904762
ETHUSDT,15min,bollinger_position,-0.45508949653204045,-1.4374166504396182,0.45508949653204045,0.9910846953937593
ETHUSDT,15min,obv_slope,0.20721670247046184,0.5389353456835121,0.20721670247046184,0.9776785714285714
ETHUSDT,30min,volatility,0.021989619377162626,0.05385671744521749,0.021989619377162626,0.9705882352941176
ETHUSDT,30min,atr_ratio,0.030854525216200013,0.06961013832903004,0.030854525216200013,0.9650655021834061
ETHUSDT,30min,rsi,-0.3833333333333333,-1.387455424953851,0.3833333333333333,0.9728183118741058
ETHUSDT,30min,volume_ratio,0.03869393250862577,0.2275664970325495,0.03869393250862577,0.894134477825465
ETHUSDT,30min,price_momentum,-0.33791089965397925,-0.9512848609191302,0.33791089965397925,0.9661764705882353
ETHUSDT,30min,bollinger_position,-0.34634990095163065,-1.0834676543686033,0.34634990095163065,0.9794419970631424
ETHUSDT,30min,obv_slope,0.09821799307958479,0.23698839541384523,0.09821799307958479,0.9691176470588235
ETHUSDT,1h,volatility,0.02473770385850011,0.06776512938236438,0.02473770385850011,0.9684813753581661
ETHUSDT,1h,atr_ratio,0.1766879779634403,0.49717630431194665,0.1766879779634403,0.9657875980042766
ETHUSDT,1h,rsi,-0.3860725248241245,-1.3443916871489154,0.3860725248241245,0.9830388692579505
ETHUSDT,1h,volume_ratio,0.0007757910677754442,0.004849064360931201,0.0007757910677754442,0.8925795053003533
ETHUSDT,1h,price_momentum,-0.34072430359566536,-1.0948747822069582,0.34072430359566536,0.9713467048710601
ETHUSDT,1h,bollinger_position,-0.358161434857663,-1.1393764225974528,0.358161434857663,0.9742304939155333
ETHUSDT,1h,obv_slope,-0.21521317620699312,-0.5931574214306746,0.21521317620699312,0.9770773638968482
ETHUSDT,4h,volatility,-0.029208521539809882,-0.06273200933716908,0.029208521539809882,0.9782916470033034
ETHUSDT,4h,atr_ratio,0.11388926219594138,0.25796600825291227,0.11388926219594138,0.977892756349953
ETHUSDT,4h,rsi,-0.4359296016331339,-1.2135812682510527,0.4359296016331339,0.9826941066417212
ETHUSDT,4h,volume_ratio,-0.017295870640117596,-0.09688408859769473,0.017295870640117596,0.9022450888681011
ETHUSDT,4h,price_momentum,-0.39266331827681517,-1.0100970915178216,0.39266331827681517,0.9806512505899009
ETHUSDT,4h,bollinger_position,-0.3806496898433497,-0.9580809334741269,0.3806496898433497,0.9797169811320755
ETHUSDT,4h,obv_slope,0.04591957122631968,0.09125035402098731,0.04591957122631968,0.9787635677206229
ETHUSDT,1d,volatility,0.06250672404518558,0.13634956948184931,0.06250672404518558,0.9664694280078896
ETHUSDT,1d,atr_ratio,0.14727036906025232,0.33221079193384345,0.14727036906025232,0.9727626459143969
ETHUSDT,1d,rsi,-0.39505900427365953,-1.1090640324045733,0.39505900427365953,0.9847908745247148
ETHUSDT,1d,volume_ratio,0.016960479317893767,0.0650840723994925,0.016960479317893767,0.9296577946768061
ETHUSDT,1d,price_momentum,-0.3401470324547247,-0.8425651300436016,0.3401470324547247,0.9684418145956607
ETHUSDT,1d,bollinger_position,-0.34460464557670173,-0.8402490606129502,0.34460464557670173,0.9901574803149606
