symbol,total_trades,winning_trades,losing_trades,win_rate,total_pnl,pnl_pct,sharpe_ratio,max_drawdown_pct,profit_factor,avg_trade_pnl,pnl_bin
BTCUSDT,131,57,74,0.4351145038167939,1518.4766082747583,15.184766082747583,0.14580669681674566,0.29086668920961195,1.1017516931462978,11.59142449064701,10~20%
ETHUSDT,136,64,72,0.47058823529411764,-696.3879276754164,-6.963879276754165,-0.040167905668996765,0.3444008498055834,0.9642088732350871,-5.120499468201592,-10~0%
BNBUSDT,124,54,70,0.43548387096774194,-2480.053536833878,-24.800535368338778,-0.2438408881550866,0.4634646098279413,0.8705292593214684,-20.000431748660304,-50~-20%
SOLUSDT,124,53,71,0.4274193548387097,-2948.1234137494785,-29.481234137494784,-0.37369542354633367,0.46043461743195424,0.7638473704682539,-23.77518882056031,-50~-20%
ADAUSDT,110,52,58,0.4727272727272727,1186.6553793556554,11.866553793556553,0.12077151614208002,0.2127566585353827,1.1093605292035764,10.787776175960504,10~20%
XRPUSDT,130,77,53,0.5923076923076923,6328.080548453667,63.28080548453667,0.39403389220624796,0.379526396391109,1.2536611389248693,48.67754268041282,50~100%
DOTUSDT,144,64,80,0.4444444444444444,-4631.897276581898,-46.318972765818984,-0.4538060058972018,0.5586820696575331,0.7481590673228122,-32.16595330959652,-50~-20%
AVAXUSDT,126,62,64,0.49206349206349204,-603.1029212747803,-6.031029212747803,-0.04121787031632776,0.3679651690090494,0.9653870184259347,-4.786531121228415,-10~0%
LINKUSDT,145,66,79,0.45517241379310347,-2293.0704373467433,-22.930704373467435,-0.17805275476339957,0.44436662378648956,0.9083404000244514,-15.814278878253402,-50~-20%
MATICUSDT,128,51,77,0.3984375,-4041.113787905956,-40.41113787905956,-0.3687412572145525,0.5291989925546642,0.7761951281197693,-31.571201468015282,-50~-20%
