symbol,total_return,max_drawdown_pct,sharpe_ratio,win_rate,profit_factor,total_trades,total_pnl
币安人生USDT,0.4494205046105627,0.13799371540622646,0.4560551800391965,0.6666666666666666,2.5680450395125036,36,4494.205046105627
SENTUSDT,0.2570394244788976,0.2745202103342029,0.27751461869950056,0.5535714285714286,1.3972265664531014,56,2570.3942447889763
PROMUSDT,0.17773300920719998,0.1646428776448304,0.2990287384241961,0.5535714285714286,1.5700144743491742,56,1777.3300920719998
DEXEUSDT,0.16842643980556563,0.19113914831487508,0.2946863434615727,0.7391304347826086,1.5775288430442718,46,1684.2643980556563
ENJUSDT,0.14587051763760675,0.11522449971416217,0.19976535893407263,0.5416666666666666,1.3505739709475812,48,1458.7051763760676
HIGHUSDT,0.1170217220987639,0.26416374003801096,0.14859979727979253,0.4827586206896552,1.3748070943238055,58,1170.217220987639
NEIROUSDT,0.07728869454697705,0.2029892241091829,0.11219208357253674,0.5660377358490566,1.197643109670323,53,772.8869454697705
ASTERUSDT,0.07271615159645503,0.05533140390575719,0.23010258820050036,0.5945945945945946,1.920823918031844,37,727.1615159645503
JSTUSDT,0.061963496059645594,0.1210179562727879,0.12268453787948234,0.7659574468085106,1.230120277888093,47,619.6349605964559
SPKUSDT,0.05733218096437696,0.12739391798494432,0.0986494553434668,0.6296296296296297,1.2356109607089416,54,573.3218096437696
TAOUSDT,0.055936873908220865,0.08881711863535889,0.09768319988080931,0.48936170212765956,1.2049137198790187,47,559.3687390822087
CFGUSDT,0.053906498582009695,0.08249844620781814,0.2143310948854907,0.76,1.2776847864108576,25,539.0649858200969
GPSUSDT,0.04350548604951796,0.1851932176716087,0.0634120186947549,0.5918367346938775,1.1025479386743726,49,435.05486049517964
ALLOUSDT,0.03668724638715987,0.18856329004581981,0.05061785525146987,0.625,1.0794872565891702,56,366.8724638715987
LTCUSDT,0.02202721258844402,0.06902481513773978,-0.0030959200434094625,0.7115384615384616,1.159868471007074,52,220.2721258844402
GUNUSDT,0.011865342018054024,0.33088335913151506,0.04303539507299176,0.6346153846153846,1.0136404241803894,52,118.65342018054025
UMAUSDT,0.002894761378061568,0.1301997034386967,-0.01331439786265949,0.5576923076923077,1.0089091159221282,52,28.947613780615683
XAUTUSDT,-0.005072710315723222,0.026734953934323485,-0.3300772614953678,0.42857142857142855,0.7761624260308956,14,-50.72710315723222
CHZUSDT,-0.03030109693419573,0.10867129557529437,-0.13236878788667136,0.6444444444444445,0.9025268804704745,45,-303.0109693419573
