symbol,total_return,max_drawdown_pct,sharpe_ratio,win_rate,profit_factor,total_trades,total_pnl
STOUSDT,1.0704834438118354,0.5719978298726731,0.4086252712033769,0.32142857142857145,1.8610669405591336,140,10704.834438118354
ORDIUSDT,0.8447919598742981,0.2441432039309764,0.5119931531493872,0.3364485981308411,2.278632758085226,107,8447.919598742981
BIOUSDT,0.815585965598813,0.18549229038282125,0.5741528656920699,0.38392857142857145,2.1424316939474224,112,8155.85965598813
DENTUSDT,0.7499082178733081,0.39386721234085975,0.33086817998354756,0.3333333333333333,1.6727818990283623,129,7499.082178733081
EULUSDT,0.4227489993739431,0.22029874721216586,0.3204185387615677,0.39473684210526316,1.4358233489557901,114,4227.489993739431
XPLUSDT,0.3515997678608535,0.20663928346971533,0.30549070813408724,0.3983739837398374,1.4410340507980508,123,3515.997678608535
ZECUSDT,0.2923891545469692,0.1580555976972569,0.30866736102347125,0.30701754385964913,1.3252760949752294,114,2923.8915454696917
MOVRUSDT,0.20666210881413244,0.3192346445703708,0.15299551382604962,0.2975206611570248,1.303509009723724,121,2066.6210881413244
币安人生USDT,0.19776915011648538,0.3702790970743928,0.1443744943181219,0.3472222222222222,1.140713645117541,144,1977.691501164854
TRUMPUSDT,0.14983555143726615,0.14885268515180516,0.2025749685077666,0.35789473684210527,1.3146836742057668,95,1498.3555143726614
SOLUSDT,0.1409609764086431,0.11992374358227086,0.22072947063487583,0.3448275862068966,1.3215187431539834,87,1409.6097640864311
ENJUSDT,0.1403653593846812,0.40909504538590974,0.10804268032083424,0.33858267716535434,1.146756970545004,127,1403.6535938468119
GUNUSDT,0.11496208488838408,0.37940327106854177,-0.011872541435634598,0.3380281690140845,1.1344583516074522,142,1149.6208488838408
ALLOUSDT,0.11073722873014048,0.3413818327845513,0.10178435637364801,0.34108527131782945,1.1071287971709725,129,1107.3722873014049
TRUUSDT,0.10970981216378427,0.37093825895969207,0.03733475825306613,0.28187919463087246,1.1107747248296864,149,1097.0981216378427
