symbol,total_return,max_drawdown_pct,sharpe_ratio,win_rate,profit_factor,total_trades,total_pnl
ORDIUSDT,0.4572976273280151,0.28128781581109547,0.36769922158179763,0.3333333333333333,2.6758144116111526,42,4572.976273280151
EULUSDT,0.2934973960475807,0.2811910230420264,0.28726558425915466,0.3611111111111111,1.8424012932839322,36,2934.973960475807
LDOUSDT,0.20878039280770844,0.11700592389587283,0.37174410503114513,0.4,1.7010202052913825,40,2087.8039280770845
DENTUSDT,0.19883419004379638,0.12820309772141944,0.2314172860843055,0.43243243243243246,1.8876288249563309,37,1988.3419004379637
CFGUSDT,0.1769135273610812,0.12729492492663355,0.48441536959903286,0.6923076923076923,2.891580542634274,13,1769.135273610812
CETUSUSDT,0.1684648824209641,0.23552788785489684,0.2194359687161047,0.5128205128205128,1.4711402339199806,39,1684.6488242096411
EDUUSDT,0.16246075980674124,0.2230375289559568,0.22754633225568494,0.4146341463414634,1.595772035520605,41,1624.6075980674125
TRUMPUSDT,0.15180945827979792,0.10411498042098465,0.33214849286953774,0.3181818181818182,1.5648602222265549,44,1518.0945827979792
SEIUSDT,0.13767373835273014,0.10368978250731364,0.3247707848008905,0.3611111111111111,1.6400956174450592,36,1376.7373835273013
BIOUSDT,0.135057109277212,0.16787700802094863,0.19156146212080158,0.3181818181818182,1.3890260335101623,44,1350.5710927721202
NEIROUSDT,0.08860767375019886,0.16603200108864363,0.1483391155010616,0.3902439024390244,1.291048293075647,41,886.0767375019885
TAOUSDT,0.08556774635948054,0.17548850379448214,0.14329037329200478,0.3333333333333333,1.2000836101085643,42,855.6774635948054
币安人生USDT,0.08036320943565299,0.4025506119905649,0.09181364740317063,0.30952380952380953,1.1435529660566006,42,803.6320943565299
ASTERUSDT,0.08035742637133099,0.1212707938656824,0.13960968606374885,0.3953488372093023,1.483724602248153,43,803.5742637133098
STOUSDT,0.07934465370466415,0.3951802025443174,0.12074513565364679,0.3783783783783784,1.1613964325820798,37,793.4465370466414
ETHUSDT,0.0619454001316859,0.15301503167980196,0.12079436288583166,0.42857142857142855,1.1932581272321008,42,619.454001316859
PAXGUSDT,0.05597283944144867,0.06908495818416731,0.18672335076460508,0.3611111111111111,1.5680854942755302,36,559.7283944144867
CHZUSDT,0.04958228701900983,0.14229973807783194,0.09163979736232647,0.34146341463414637,1.152298314718245,41,495.82287019009834
MOVRUSDT,0.045791616086670615,0.3611779542390339,0.10645053219879959,0.2916666666666667,1.1243430824269345,48,457.91616086670615
WLFIUSDT,0.042131876000865466,0.12136631985105568,0.07386889851927951,0.42105263157894735,1.132200577055094,38,421.3187600086547
PEPEUSDT,0.03644604665912498,0.15914941261861087,0.03951485727850086,0.37777777777777777,1.099233003312257,45,364.46046659124977
BCHUSDT,0.028309277189515494,0.12370593969395176,-0.007913098005672897,0.37777777777777777,1.118559954989956,45,283.09277189515495
SOLUSDT,0.02529007305882451,0.179913993329916,0.039056370720237106,0.37142857142857144,1.0791212124985103,35,252.9007305882451
ZAMAUSDT,0.017144969088257203,0.18878846435801006,0.02479502042936243,0.34210526315789475,1.0408237949777281,38,171.449690882572
DYDXUSDT,0.005200817636368973,0.22746969932334318,-0.033424200656078276,0.3076923076923077,1.0106133090542808,39,52.00817636368973
UNIUSDT,0.001953900050486823,0.18826966710198234,-0.008590799806421152,0.325,1.0072860826539618,40,19.539000504868227
TONUSDT,0.0007489567659191152,0.10450947624064001,-0.033650997527915776,0.325,1.0035866805202844,40,7.489567659191152
HBARUSDT,-0.013220522840630565,0.17202483616509814,-0.09072955215721015,0.29545454545454547,0.946534980603717,44,-132.20522840630565
LTCUSDT,-0.01444561073386627,0.10647417361610945,-0.0857722606743937,0.36585365853658536,0.9273463511590267,41,-144.4561073386627
0GUSDT,-0.017583125617769424,0.24483801876137873,-0.10284324447534429,0.3333333333333333,0.9550023683202217,42,-175.83125617769423
ENAUSDT,-0.01812023795367698,0.13256753230501453,-0.07262310520340708,0.2926829268292683,0.9447880819485711,41,-181.2023795367698
